,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
99,,Nike,Air Max 1,White/Mystic Dates-Wolf Grey-Black,New,CN,product,standard,1.0,men,Mystic Dates,sneakers,2020-09-30,False,True,130.0,Nike Air Max 1,Nike-Air-Max-1-Mystic-Dates,DB5074-101,Nike Air Max 1 Mystic Dates,132.0,7.5,57.0,1,1.0,0.0,148.0,13.0,78.0,1,305.0,120.0,157,227,0.183184,191.0,0.477,194.0,192.0,10.5,1.0,-23,-0.106977,0.106977,37031.0,1677231593,1677309752,2023-02-24T02:35:54Z,60,28,13
100,,Nike,Air Max 90,White/Light Smoke Grey-Particle Grey-Obsidian,New,CN,product,standard,1.0,men,White Grey Obsidian,sneakers,2020-05-01,True,True,120.0,Nike Air Max 90,Nike-Air-Max-90-White-Grey-Obsidian,CT4352-100,Nike Air Max 90 White Grey Obsidian,107.0,8.0,29.0,1,1.0,3.0,175.0,11.0,55.0,1,420.0,70.0,61,146,0.413077,121.0,-0.139,174.0,104.0,7.0,1.0,-61,-0.37418,0.37418,21101.0,1677395337,1676538870,2023-02-24T03:07:40Z,93,45,19
101,,Nike,Air Max 1,Net/Deep Red-Blaze Orange,New,CN,product,standard,1.0,preschool,CLOT Kiss of Death (2021) (PS),sneakers,2021-03-27,True,False,80.0,Nike Air Max 1,Nike-Air-Max-1-Clot-Kiss-of-Death-2021-PS,DH2493-100,Nike Air Max 1 CLOT Kiss of Death (2021) (PS),50.0,1.0,82.0,1,1.0,1.0,42.0,10.5,30.0,1,166.0,28.0,59,90,0.208287,88.0,-0.069,87.0,75.0,11.0,1.0,27,0.555557,0.555557,7613.0,1676655271,1677049984,2023-02-21T03:04:29Z,88,89,39
102,,Nike,Nike Other Golf,Blue Void/Hyper Pink-Thunderstorm,New,CN,product,standard,1.0,men,No Denim Allowed Navy,sneakers,2019-12-02,False,True,140.0,Nike Air Max 1 Golf,Nike-Air-Max-1-G-No-Denim-Allowed-Navy,CI6876-400,Nike Air Max 1 Golf No Denim Allowed Navy,168.0,8.5,28.0,1,1.0,0.0,140.0,10.5,53.0,1,348.0,101.0,117,243,0.349917,44.0,0.286,193.0,180.0,11.5,1.0,79,0.782178,0.782178,8512.0,1676664260,1676603374,2023-02-17T12:13:17Z,14,17,54
103,,Nike,Air Max Other,Black/White-Pure Purpl,New,CN,product,standard,1.0,men,Black Purple (2015),sneakers,2015-08-06,False,True,140.0,Nike Air Max 2 CB 94,Nike-Air-Max-2-CB-94-2015,305440-006,Nike Air Max 2 CB 94 Black Purple (2015),351.0,8.5,6.0,1,1.0,0.0,300.0,13.0,47.0,1,667.0,180.0,288,512,0.280204,14.0,1.857,361.0,400.0,10.5,1.0,95,0.30805,0.30805,5060.0,1676386828,1675069745,2023-02-11T16:30:05Z,54,82,55
104,,Nike,Air Max 1,Metallic Silver/Monarch-Pure Platinum,New,CN,product,standard,1.0,men,Patta Waves Monarch (without Bracelet),sneakers,2021-10-15,False,True,160.0,Nike Air Max 1,Nike-Air-Max-1-Patta-Monarch,DH1348-001,Nike Air Max 1 Patta Waves Monarch (without Bracelet),196.0,3.5,207.0,1,0.0,1.0,285.0,13.0,141.0,1,526.0,0.0,208,329,0.224259,554.0,0.679,277.0,269.0,9.0,0.0,49,0.221356,0.221356,153495.0,1676834154,1677136932,2023-02-18T00:51:16Z,49,35,57
105,,Nike,Air Max 90,Wolf Grey/Kumquat/Cool Grey/White,New,CN,product,standard,1.0,men,Wolf Grey Kumquat Cool Grey White,sneakers,2021-11-13,True,True,120.0,Nike Air Max 90,Nike-Air-Max-90-Wolf-Grey-Kumquat-Cool-Grey-White,DR0145-001,Nike Air Max 90 Wolf Grey Kumquat Cool Grey White,108.0,7.5,34.0,1,0.0,3.0,120.0,10.5,28.0,1,315.0,61.0,180,260,0.179896,315.0,0.833,156.0,220.0,11.5,0.0,61,0.383648,0.383648,49049.0,1676714217,1676670062,2023-02-19T17:41:11Z,25,45,7
106,,Nike,Air Max VaporMax,Dark Razon/Pink Blast-Black-Blue Fox,New,CN,product,standard,1.0,women,Dark Razon (W),sneakers,2021-02-05,True,True,220.0,Nike Air VaporMax 2020,Nike-Air-VaporMax-2020-Dark-Razon-W,CV8821-502,Nike Air VaporMax 2020 Dark Razon (W),115.0,,29.0,1,0.0,0.0,130.0,,28.0,1,254.0,73.0,65,143,0.377641,217.0,-0.527,131.0,104.0,,0.0,-22,-0.174603,0.174603,28332.0,1677412164,1677104614,2023-02-19T22:27:16Z,3,54,49
107,,Nike,Air Max VaporMax,Black/Black-Black,New,CN,product,standard,1.0,men,Triple Black,sneakers,2019-01-10,True,True,190.0,Nike Air VaporMax 2019,Nike-Air-VaporMax-2019-Triple-Black,AR6631-004,Nike Air VaporMax 2019 Triple Black,171.0,9.5,54.0,1,0.0,0.0,170.0,6.5,66.0,1,369.0,106.0,227,303,0.143559,181.0,0.394,188.0,265.0,10.0,0.0,140,1.11879,1.11879,33993.0,1676704822,1677318005,2023-02-26T14:19:59Z,20,78,24
108,,Nike,Air Max 270,Light Arctic Pink/Orange Pulse-White-Black,New,CN,product,standard,1.0,women,Light Arctic Pink (W),sneakers,2020-04-19,True,True,170.0,Nike Air Max 270 React SE,Nike-Air-Max-270-React-SE-Light-Arctic-Pink-W,CJ0620-600,Nike Air Max 270 React SE Light Arctic Pink (W),108.0,5.5,29.0,1,0.0,1.0,160.0,9.0,39.0,1,300.0,33.0,98,146,0.197974,149.0,-0.282,128.0,122.0,8.0,0.0,3,0.02152,0.02152,19103.0,1676539297,1677433419,2023-02-22T14:30:35Z,15,64,64
