,minimumBid,belowRetail,lowestAskThresholdMet,retailPrice,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,brand_dummy
highestBid,-0.051352640042358524,-0.1730755358306356,0.14252830461941288,0.27822838086763735,0.9538734141974633,0.11487546290929393,-0.02223766152616845,0.02129312472020628,0.019872583251547504,0.0018153427669297328,1.0,0.08165104606214227,0.12448074933806909,0.03483439959333228,0.9665169384501483,0.9641816914205208,0.9288371135108325,0.9868377234512036,0.22878843663328668,-0.0076450602116281035,0.9571580612873414,0.9646468987345078,0.9780200879806755,0.19165013914403348,0.01987258325154751,-0.796522816065383,-0.03676208559736346,-0.00547441560197044,0.003394637757214011,0.021480152807705155,0.013184996092083553,-0.0557040415459162,0.02186565415779803,0.10303657920987573,0.0010433924113924901
highestBidSize,-0.17533972888774163,-0.14655151537252611,0.0410456335061492,0.041901014681129445,0.03633891479552202,-0.10423520316464593,0.05961139441270465,0.09063682909133292,0.10606973991901532,0.025105431767273475,0.08165104606214227,1.0,0.20668544187539012,,0.06153414748373784,0.038611527812538037,0.05959418007550612,0.04804344068106579,0.03320146526565417,0.10699092583757168,0.0629599260859626,0.04378231851935932,0.04975577653364732,0.17099127345247558,0.1060697399190154,0.006375664419192774,-0.04952775585231291,-0.07337908217472801,0.09913822941177991,0.09102662332432325,0.16365165006487276,-0.12961139989084278,0.08464852095453135,0.20308203715429987,0.14533512893652242
numberOfBids,-0.16223407843153992,-0.14119371213722118,0.24331478515972343,0.30004369374360707,0.04602954054519443,-0.1861798259566644,0.7718145157717434,0.08561651378241389,0.7540985861567829,0.6825220034495967,0.12448074933806909,0.20668544187539012,1.0,0.08971453037553415,0.13190272955928084,0.06169702571234742,0.13075624788980075,0.06864873689339243,-0.16935769879147666,0.603255544591152,0.06970467430392373,0.07521691632254236,0.08200172052221226,-0.04236231974770614,0.7540985861567828,-0.007022925321270281,-0.053384946997208665,-0.15475750104388344,0.6433643755134881,0.08636479111476786,0.05758078485123066,0.002704786833954246,0.06419647534429947,-0.013397153446602347,0.1595312156088712
hasBids,0.027646540655045702,0.006398930756904623,-0.079808688446762,0.037175280211942004,0.015708907937609134,-0.07961881286146144,0.05072621181874113,-0.01273885350318496,0.021749537051425998,0.01887942322261225,0.03483439959333228,,0.08971453037553415,1.0,0.016510767955601375,0.01696790167983862,0.017329678696966208,0.012828664388023353,-0.05274840826126937,0.01888998139997045,0.010596375890668983,0.01582033279233257,0.01473414385350077,0.030828863552647096,0.021749537051425984,-0.012421727340887857,-0.028257582158517133,0.031186768124366944,0.01975033583613549,-0.012744219974542587,0.028041483097641345,0.04666647211973211,0.02399008633504426,0.053057485442265837,0.0303276588323638
annualHigh,-0.04062764359369743,-0.14021167050480163,0.11445286436618726,0.2624920864105313,0.9735589423909715,0.12073487748768891,-0.01773049757470304,0.02255585612420835,0.030872303568918895,0.009985570367545743,0.9665169384501483,0.06153414748373784,0.13190272955928084,0.016510767955601375,1.0,0.9911859964209176,0.9767582354679769,0.9859418871903659,0.1888765822768371,-0.0071707583314200365,0.9702367450578714,0.9949111499578744,0.9909530660113315,0.18368011388801123,0.03087230356891889,-0.8946522433405607,-0.05096735647397791,0.009596667775670689,0.005481223054920343,0.022760386705401894,0.016235740591613524,-0.060682015791145134,-0.001944200179335725,0.07443024244244414,-0.015493848562820652
annualLow,-0.01611469776013009,-0.1409722419662708,0.1044284795061783,0.20898729367807595,0.9888188900075273,0.1424014715571347,-0.036085038608694234,0.008791822861229455,-0.00026953233088976796,-0.008013344774797575,0.9641816914205208,0.038611527812538037,0.06169702571234742,0.01696790167983862,0.9911859964209176,1.0,0.9763573863642487,0.9900502919556929,0.1790303021041268,-0.019504053781290984,0.9739622338753049,0.9984983082207061,0.994793067425564,0.19246337072756467,-0.0002695323308897723,-0.9045739529294466,-0.038842024956097274,0.020688125353298892,-0.009127743197976828,0.008953036635576473,0.008911420396695123,-0.055589168283720986,-0.011512436608940246,0.06535248890054977,-0.024850653162992408
deadstockRangeLow,-0.05552958164514586,-0.18168974651403905,0.15434951159519097,0.22882162294372133,0.9726673358783416,0.13386749400336037,-0.024269454233761912,0.042250358182239205,0.02451876500427264,0.003556677373544736,0.9288371135108325,0.05959418007550612,0.13075624788980075,0.017329678696966208,0.9767582354679769,0.9763573863642487,1.0,0.9625105854446614,0.10132642941093731,-0.013475056174636343,0.9633626540189211,0.976829027106595,0.979198892787813,0.1859722153564866,0.024518765004272646,-0.8700503453735733,0.010821261148360463,0.03301196753269756,-0.0004978469076329293,0.042435944123613824,0.020948202019275223,-0.047732713015249215,-0.03063666033225981,0.06873197142764044,-0.008548511768373943
deadstockRangeHigh,-0.0398639164132808,-0.1507496079976986,0.12155448487128197,0.23831148752219572,0.9787057845074759,0.13448262713673587,-0.04031713782044471,0.029476244603124917,-0.003743826578351069,-0.012172191301773938,0.9868377234512036,0.04804344068106579,0.06864873689339243,0.012828664388023353,0.9859418871903659,0.9900502919556929,0.9625105854446614,1.0,0.22050502011686574,-0.01951179198998121,0.9827694854545641,0.9908246284477856,0.9967260231434958,0.19413813485495682,-0.0037438265783510745,-0.8598793241085888,-0.024594258193848178,0.02537707457197035,-0.009833438494748836,0.029655600038658834,0.013285743911903694,-0.05338786918288183,0.0037783184840073925,0.08297601743721962,-0.023386162555887005
volatility,0.05841120419195185,0.12173261986585936,-0.04333725678889278,0.19377896594521057,0.1595088280332148,-0.021701121938319308,-0.17300879008840211,0.14945365393348212,-0.11004713513848015,-0.10411642524592948,0.22878843663328668,0.03320146526565417,-0.16935769879147666,-0.05274840826126937,0.1888765822768371,0.1790303021041268,0.10132642941093731,0.22050502011686574,1.0,-0.0826445183847971,0.17030086327320101,0.18368686141034352,0.1822028081838836,-0.1069639335013081,-0.1100471351384801,-0.17337135271473603,-0.21210741333548874,0.2531308068922727,-0.08933243872480885,0.14913750227340727,-0.09759721265554139,-0.01317293435138075,-0.03055268512797387,0.04309774424244699,-0.058730841639600476
deadstockSold,-0.04110600093784889,-0.1339001763482473,0.09574240190483924,-0.12186268371036817,-0.021093937444278506,-0.17083146835719296,0.8055205971457713,0.019135850981293317,0.7517773199771112,0.7876191259938602,-0.0076450602116281035,0.10699092583757168,0.603255544591152,0.01888998139997045,-0.0071707583314200365,-0.019504053781290984,-0.013475056174636343,-0.01951179198998121,-0.0826445183847971,1.0,0.016558268017799548,-0.017078486328255454,-0.018952507376186756,-0.12177059206077426,0.7517773199771112,-0.002372809697190607,-0.0690378705703886,-0.057334663425671166,0.9927849790056337,0.01950022140586113,0.014204317397890518,-0.043276942242353046,0.03865885451242777,0.029712311541947974,-0.06595237860150985
pricePremium,-0.04259364032730979,-0.21203729160075863,0.14855339288295774,0.17169736243895048,0.9621105959497694,0.13329957188335573,-0.02759481723616073,0.019772259524539256,0.0006653369424158616,-0.0015134883820659656,0.9571580612873414,0.0629599260859626,0.06970467430392373,0.010596375890668983,0.9702367450578714,0.9739622338753049,0.9633626540189211,0.9827694854545641,0.17030086327320101,0.016558268017799548,1.0,0.9767801190714576,0.9850476269335512,0.17843954993201766,0.0006653369424158671,-0.8443934081016106,0.032565528640072526,0.06567918779537468,0.022977590131197625,0.01999171490072769,0.021278753784617674,-0.04192827047276695,0.022488610895341547,0.08431854248828305,-0.008235279323250728
averageDeadstockPrice,-0.029407551506349095,-0.13637223589007239,0.1070085932801363,0.22402614775716304,0.9842164931560993,0.1364687485929859,-0.030668905177047706,0.016163701445914787,0.003012009513695633,-0.006050223768548822,0.9646468987345078,0.04378231851935932,0.07521691632254236,0.01582033279233257,0.9949111499578744,0.9984983082207061,0.976829027106595,0.9908246284477856,0.18368686141034352,-0.017078486328255454,0.9767801190714576,1.0,0.9949564547644231,0.1940330828556517,0.0030120095136956394,-0.9094976427273145,-0.04622854148708544,0.01573653948017789,-0.006539558976966364,0.01633218783045758,0.012604147329129633,-0.055124706527124916,-0.008250986408031723,0.06416676121200503,-0.021140042171696023
lastSale,-0.035781841402919644,-0.1643666873740761,0.13235237781438275,0.2368752373124697,0.9855930978635643,0.1342344420514401,-0.03933321170334337,0.019242522504136127,0.0030687678856358615,-0.008814315829272657,0.9780200879806755,0.04975577653364732,0.08200172052221226,0.01473414385350077,0.9909530660113315,0.994793067425564,0.979198892787813,0.9967260231434958,0.1822028081838836,-0.018952507376186756,0.9850476269335512,0.9949564547644231,1.0,0.19277830703028878,0.0030687678856358667,-0.8689941926059571,-0.008889534470134406,0.03319697789524263,-0.008306305884308014,0.019410310005789876,0.015979764242949925,-0.05500733871276551,-0.00362042039415398,0.08084451071794287,-0.023893843923760802
lastSaleSize,0.11728521699303329,-0.03708505342139057,-0.025758361096412594,-0.06839906200272228,0.18928358666133713,0.2276914023753395,-0.059747793515611054,-0.033707368435640477,-0.09714079809264188,-0.127628694808888,0.19165013914403348,0.17099127345247558,-0.04236231974770614,0.030828863552647096,0.18368011388801123,0.19246337072756467,0.1859722153564866,0.19413813485495682,-0.1069639335013081,-0.12177059206077426,0.17843954993201766,0.1940330828556517,0.19277830703028878,1.0,-0.0971407980926419,-0.15982033884026062,0.042980842106049494,-0.0797421970970853,-0.12417251413622357,-0.03420649652929341,-0.054756898251731,-0.05380759173277101,-0.010064035416510084,-0.08105928300738105,0.04697723665417297
salesLast72Hours,-0.0450770294974887,-0.1104869763915971,0.09459362775786355,0.04450336236881002,-0.008027411433350236,-0.19126776315835417,0.9096909970150306,0.021749537051425804,1.0,0.9809460893339574,0.01987258325154751,0.1060697399190154,0.7540985861567828,0.021749537051425984,0.03087230356891889,-0.0002695323308897723,0.024518765004272646,-0.0037438265783510745,-0.1100471351384801,0.7517773199771112,0.0006653369424158671,0.0030120095136956394,0.0030687678856358667,-0.0971407980926419,1.0,0.025671680480014218,-0.028339183364775977,-0.07532504775548796,0.8149697273931001,0.02223202792260826,0.016173487126378835,0.05307339093502145,0.05183590039268607,-0.05744839957072268,0.022196898717692173
changeValue,0.00819277098423821,0.029759057723520232,-0.018181231625736597,-0.15336983316083397,-0.88021161517329,-0.14791014848343073,0.010905243617939977,-0.005034813378145301,0.025671680480014218,0.01282840948531771,-0.796522816065383,0.006375664419192774,-0.007022925321270281,-0.012421727340887857,-0.8946522433405607,-0.9045739529294466,-0.8700503453735733,-0.8598793241085888,-0.17337135271473603,-0.002372809697190607,-0.8443934081016106,-0.9094976427273145,-0.8689941926059571,-0.15982033884026062,0.025671680480014218,1.0,0.25556531653175624,0.08168896044011849,-0.006619538807848173,-0.005027104936036174,0.002987775871622166,0.044944061853286574,0.025769551972395697,0.028338910284993427,0.020864367187296735
changePercentage,0.01940362485374646,-0.13461999629100496,0.15923844908743223,-0.05353193240640701,-0.0406853278308058,-0.07377164885539152,-0.08266669783907561,0.02054730542587322,-0.028339183364775977,-0.03916795546842038,-0.03676208559736346,-0.04952775585231291,-0.053384946997208665,-0.028257582158517133,-0.05096735647397791,-0.038842024956097274,0.010821261148360463,-0.024594258193848178,-0.21210741333548874,-0.0690378705703886,0.032565528640072526,-0.04622854148708544,-0.008889534470134406,0.042980842106049494,-0.028339183364775977,0.25556531653175624,1.0,0.6664143838948638,-0.06602905409042611,0.020919592555724457,0.06318335420080948,-0.12152985717972131,-0.06096927924246996,0.097875613123057,-0.03611011607391221
absChangePercentage,0.15754849089714995,-0.10151434155479988,0.11043684955281612,0.06633097298161278,0.015008462560527302,-0.06791930063749652,-0.14060990211755633,0.09355242980304118,-0.07532504775548796,-0.07193476045337462,-0.00547441560197044,-0.07337908217472801,-0.15475750104388344,0.031186768124366944,0.009596667775670689,0.020688125353298892,0.03301196753269756,0.02537707457197035,0.2531308068922727,-0.057334663425671166,0.06567918779537468,0.01573653948017789,0.03319697789524263,-0.0797421970970853,-0.07532504775548796,0.08168896044011849,0.6664143838948638,1.0,-0.06237989803263741,0.0931553767616741,0.0033224407548491388,-0.07461426878383039,-0.09317504330040277,0.005049293639639189,-0.13076031744914066
totalDollars,-0.042891434394640306,-0.14269311239044152,0.10837275752487854,-0.09867566646971049,-0.01168204339319054,-0.1716112728494495,0.8547532304584028,0.019922225329479657,0.8149697273931001,0.8509014236697178,0.003394637757214011,0.09913822941177991,0.6433643755134881,0.01975033583613549,0.005481223054920343,-0.009127743197976828,-0.0004978469076329293,-0.009833438494748836,-0.08933243872480885,0.9927849790056337,0.022977590131197625,-0.006539558976966364,-0.008306305884308014,-0.12417251413622357,0.8149697273931001,-0.006619538807848173,-0.06602905409042611,-0.06237989803263741,1.0,0.020307680135737378,0.014799630232705079,-0.024231988380377496,0.042847499674084966,0.014724575514124707,-0.05601654273688975
lastLowestAskTime,-0.21662285796434608,0.006729491071185669,0.15994932183041033,0.1680950496235295,0.027841956460465226,-0.19377857859307962,0.056972883960398735,0.9999716649758575,0.02223202792260826,0.01928336568726821,0.021480152807705155,0.09102662332432325,0.08636479111476786,-0.012744219974542587,0.022760386705401894,0.008953036635576473,0.042435944123613824,0.029655600038658834,0.14913750227340727,0.01950022140586113,0.01999171490072769,0.01633218783045758,0.019410310005789876,-0.03420649652929341,0.02223202792260826,-0.005027104936036174,0.020919592555724457,0.0931553767616741,0.020307680135737378,1.0,-0.009557747976927633,0.016598832789190287,-0.05138998984112082,0.07758009020541723,0.030749905613721082
lastHighestBidTime,-0.32372810860338935,0.08436166573873008,-0.05922044835547423,-0.00040172398076663825,0.00914324602442768,-0.04287653704035525,0.03975236447249527,-0.009447055834577776,0.016173487126378835,0.014038860484179407,0.013184996092083553,0.16365165006487276,0.05758078485123066,0.028041483097641345,0.016235740591613524,0.008911420396695123,0.020948202019275223,0.013285743911903694,-0.09759721265554139,0.014204317397890518,0.021278753784617674,0.012604147329129633,0.015979764242949925,-0.054756898251731,0.016173487126378835,0.002987775871622166,0.06318335420080948,0.0033224407548491388,0.014799630232705079,-0.009557747976927633,1.0,0.009241970129483168,0.1373457745168784,0.06021963004052032,0.10554431484196548
deadstockSoldRank,-0.03848056324590109,-0.025230216940273918,0.011050498212230673,-0.07651222315070122,-0.042626685983404064,0.006107858875384143,0.0478295505109416,0.016618001275898117,0.05307339093502145,0.06562955724246423,-0.0557040415459162,-0.12961139989084278,0.002704786833954246,0.04666647211973211,-0.060682015791145134,-0.055589168283720986,-0.047732713015249215,-0.05338786918288183,-0.01317293435138075,-0.043276942242353046,-0.04192827047276695,-0.055124706527124916,-0.05500733871276551,-0.05380759173277101,0.05307339093502145,0.044944061853286574,-0.12152985717972131,-0.07461426878383039,-0.024231988380377496,0.016598832789190287,0.009241970129483168,1.0,0.07182238427565378,-0.05599339327233309,-0.003852472374352356
pricePremiumRank,-0.17768974817867686,0.034850696560642554,-0.004718915544765313,-0.03872904525949336,-0.02420096828030475,-0.017810553018536898,0.06776891045971871,-0.05185926041343178,0.05183590039268607,0.05069086909060589,0.02186565415779803,0.08464852095453135,0.06419647534429947,0.02399008633504426,-0.001944200179335725,-0.011512436608940246,-0.03063666033225981,0.0037783184840073925,-0.03055268512797387,0.03865885451242777,0.022488610895341547,-0.008250986408031723,-0.00362042039415398,-0.010064035416510084,0.05183590039268607,0.025769551972395697,-0.06096927924246996,-0.09317504330040277,0.042847499674084966,-0.05138998984112082,0.1373457745168784,0.07182238427565378,1.0,-0.019597958627388914,0.13771845341276348
averageDeadstockPriceRank,0.03898597734931559,-0.06895371360408137,-0.03929901795621128,0.05114483796207036,0.05831023498753032,-0.048997564583425954,-0.04747590360770124,0.0768045373362001,-0.05744839957072268,-0.06122357280827789,0.10303657920987573,0.20308203715429987,-0.013397153446602347,0.053057485442265837,0.07443024244244414,0.06535248890054977,0.06873197142764044,0.08297601743721962,0.04309774424244699,0.029712311541947974,0.08431854248828305,0.06416676121200503,0.08084451071794287,-0.08105928300738105,-0.05744839957072268,0.028338910284993427,0.097875613123057,0.005049293639639189,0.014724575514124707,0.07758009020541723,0.06021963004052032,-0.05599339327233309,-0.019597958627388914,1.0,-0.013589587032769046
brand_dummy,-0.15090142340027216,-0.021798344390792736,-0.12975762594653467,-0.172523246855867,-0.04133362823778118,0.015182348857400736,0.08971629832684458,0.030327658832365097,0.022196898717692173,0.005167033844051259,0.0010433924113924901,0.14533512893652242,0.1595312156088712,0.0303276588323638,-0.015493848562820652,-0.024850653162992408,-0.008548511768373943,-0.023386162555887005,-0.058730841639600476,-0.06595237860150985,-0.008235279323250728,-0.021140042171696023,-0.023893843923760802,0.04697723665417297,0.022196898717692173,0.020864367187296735,-0.03611011607391221,-0.13076031744914066,-0.05601654273688975,0.030749905613721082,0.10554431484196548,-0.003852472374352356,0.13771845341276348,-0.013589587032769046,1.0
